CustomerID,Lookalikes
C0001,"[('C0118', 0.840051967761731), ('C0184', 0.81336144204877), ('C0152', 0.8126329386203845)]"
C0002,"[('C0005', 0.8738638210066271), ('C0159', 0.8729203555850416), ('C0103', 0.822655588655153)]"
C0003,"[('C0181', 0.8427351723654712), ('C0076', 0.8158912833142131), ('C0190', 0.8007367192989341)]"
C0004,"[('C0165', 0.9105983161748846), ('C0102', 0.9060705676889572), ('C0082', 0.8972261770063985)]"
C0005,"[('C0159', 0.9236637942686196), ('C0007', 0.8904153160909168), ('C0002', 0.8738638210066271)]"
C0006,"[('C0187', 0.8840343372993897), ('C0191', 0.8104903906066238), ('C0126', 0.7608985472156936)]"
C0007,"[('C0159', 0.8912771985956378), ('C0005', 0.8904153160909168), ('C0002', 0.8142503368654743)]"
C0008,"[('C0087', 0.7848792701702405), ('C0065', 0.7733441075930033), ('C0012', 0.7541790575246043)]"
C0009,"[('C0097', 0.8476225744622691), ('C0062', 0.8121632426252485), ('C0119', 0.8094072791337419)]"
C0010,"[('C0002', 0.7252616063535088), ('C0073', 0.7133890762067446), ('C0166', 0.7069540515333927)]"
C0011,"[('C0107', 0.8154450407839129), ('C0118', 0.7697051624800973), ('C0108', 0.7590258860430841)]"
C0012,"[('C0195', 0.8828508898227226), ('C0046', 0.8593021270233229), ('C0087', 0.8590544891044528)]"
C0013,"[('C0087', 0.8850759447455003), ('C0046', 0.8398390325417991), ('C0012', 0.8359969805614025)]"
C0014,"[('C0128', 0.8526906808887994), ('C0033', 0.8378265106468819), ('C0078', 0.8352758257367536)]"
C0015,"[('C0033', 0.8480164464231156), ('C0058', 0.8329652646716218), ('C0063', 0.8197297755280845)]"
C0016,"[('C0048', 0.7088859040885446), ('C0187', 0.6744707460525071), ('C0191', 0.6395671462538393)]"
C0017,"[('C0041', 0.8836492514648389), ('C0028', 0.8606926474122246), ('C0143', 0.8253864039288944)]"
C0018,"[('C0046', 0.8898881421580523), ('C0039', 0.8598368223551507), ('C0114', 0.8518971333004213)]"
C0019,"[('C0027', 0.7785366878286373), ('C0199', 0.7599503756836058), ('C0070', 0.7430940071898253)]"
C0020,"[('C0033', 0.8649932535792667), ('C0058', 0.8416011605116169), ('C0032', 0.838859481870161)]"
